284.30994717;288.07902657;182.23992234;293.67936549;276.37909371;298.95903666;317.20947165;332.54923014;;;;;;
149.34950796;167.1393438;219.94942252;236.83917738;218.03937276;293.34947802;252.82985024;335.21972676;214.07941604;335.21972676;284.1998202;363.89944358;;
240.53993766;341.61975254;351.4093693;389.7798146;231.1398936;393.17945282;234.97940378;415.01919426;338.8592108;469.8394701;;;;
298.0192147;376.40952926;;;;;;;;;;;;
248.0997618;316.7997642;262.9390734;321.9095178;511.019991;511.3790226;;;;;;;;
303.89929336;509.0291219;;;;;;;;;;;;
332.94955811;334.71920885;288.25942197;346.17923665;216.35916783;377.59997145;;;;;;;;
374.99937552;376.9293528;217.70922096;505.52930736;;;;;;;;;;
235.80967619;237.93939181;221.85974499;255.23965761;170.09903468;288.79982215;296.43995652;302.5391329;160.1499124;537.82960519;;;;
189.1098633;223.08934077;286.84940385;301.02939909;313.79978061;360.16928349;282.02956317;429.81937557;;;;;;
220.539898;223.229112;233.899282;279.059766;;;;;;;;;;
197.16935499;252.26910525;321.89963517;462.28926081;;;;;;;;;;
181.979228;182.55961033;221.14955997;264.75986654;200.87998086;318.07938214;189.13993143;355.26964472;;;;;;
327.46995995;461.53901675;;;;;;;;;;;;
206.95931982;210.62988639;207.51940359;288.29942937;245.81968389;288.29942937;266.27996727;295.72915221;;;;;;
261.62995048;283.28905556;327.02902276;346.82982276;304.89964868;435.63938088;285.38992044;454.57983612;284.61966932;513.82976996;;;;
228.44943051;259.04951268;239.17976796;279.21917058;303.66904638;405.68918208;;;;;;;;
141.91944365;242.14914085;270.1191512;401.68968125;;;;;;;;;;
352.6892721;392.81922405;308.44969155;507.30961545;302.2093998;522.4291479;297.25952355;553.499595;;;;;;
240.04989841;244.92947129;225.05976626;277.59943736;269.67970673;393.8799655;;;;;;;;
272.4597808;309.53965424;306.31919728;316.98993552;213.69933104;339.7393704;269.19966304;383.48919888;320.409688;424.84946416;;;;
228.49917365;277.81960415;224.1599921;312.13969765;245.25927415;314.40951025;;;;;;;;
249.93915387;270.47968248;382.14978186;471.90906462;330.46992615;484.49975553;;;;;;;;
200.20916762;201.78930109;260.4290374;303.43925742;253.0199892;305.81988591;184.16947212;306.46941909;;;;;;
283.11970116;351.16929696;271.93951788;366.5792796;206.51955396;467.43980484;;;;;;;;
283.7594519;384.03925037;397.9796516;457.68949885;;;;;;;;;;
326.97914392;342.82962144;308.97965184;359.40972728;282.99910244;421.08923608;;;;;;;;
254.79918906;411.31929312;238.98924588;414.22992258;378.94944666;425.79989526;183.7696347;438.90998208;;;;;;
240.91995518;269.93942814;;;;;;;;;;;;
186.58952537;384.4299797;268.66971346;389.6191918;236.28942836;389.6191918;;;;;;;;
317.99974528;323.6693334;134.53973512;349.59999228;120.28944536;355.1299108;;;;;;;;
207.759552;258.229257;295.3597647;311.3393712;156.8191911;327.1097973;227.7293733;358.0191615;194.4894237;363.6591387;101.0390667;371.0396547;239.0892504;412.8994155
358.80954465;439.53986994;406.05992031;449.76977356;354.38947989;450.02926285;;;;;;;;
311.79986825;370.0395335;197.45971375;406.2498765;226.36952;412.01986475;;;;;;;;
315.65945096;333.64952384;276.30906808;359.33918592;414.67942768;519.03923496;;;;;;;;
390.70907184;459.30938334;;;;;;;;;;;;
310.9094078;361.23910052;263.9891267;443.17991452;291.92925988;451.1897034;428.08972592;451.96947874;398.80901328;455.0093145;;;;
356.17940853;377.68957215;335.06944317;401.80989585;301.79975925;549.15974091;231.06915249;549.15974091;;;;;;
286.07957099;310.10966859;311.72936192;328.18979891;232.60990584;340.9899628;279.22937438;389.90991748;274.3496098;413.00920853;229.32915;413.82939749;332.36988475;533.01940105
156.07976696;287.87945996;352.24970676;370.12989648;;;;;;;;;;
291.12941297;334.6299396;273.85951175;395.79929378;192.14984074;440.05963364;187.55974952;452.62922683;465.30903683;473.73915974;;;;
224.54911;311.4599014;362.0592284;362.6594836;246.4594186;427.0895252;;;;;;;;
337.68982086;383.53954695;321.96902997;424.71908829;303.03954744;424.71908829;381.99913521;435.27920016;327.05978109;455.02983603;;;;
164.21914476;232.99909512;169.02922542;233.87978658;188.29984932;433.32952212;220.34978526;446.32974012;;;;;;
138.83951232;375.89968944;207.6894432;410.64913872;;;;;;;;;;
185.30966238;281.42972;259.00980832;287.15966846;198.5899963;300.10937166;228.05942726;300.10937166;;;;;;
