88.76981256;141.5990862;126.64951728;173.43938898;140.6295033;179.15992809;222.03948195;224.96922162;142.89952677;226.86940419;227.16927519;243.84909978;209.8197387;243.84909978;212.96938377;249.91948839;167.94975054;263.29973241;186.7696545;270.71954052;134.46915339;270.71954052;;;;;;;;
124.70993316;148.57956756;123.60947572;179.34982222;104.77997598;184.29990146;120.74947392;191.51917936;182.6492153;224.099449;151.03976288;234.40931016;89.04996608;234.40931016;249.71972118;267.25974606;167.3298977;279.76953248;249.23975548;302.7198099;193.87942306;330.31932208;;;;;;;;
131.12941781;188.4595822;184.94945041;212.72929546;93.20985476;216.02967426;161.639034;225.08981052;179.95911861;227.91998475;138.67953136;230.75910579;234.43922697;264.61979937;223.58972871;327.21963485;;;;;;;;;;;;;;
97.28998305;112.95931435;94.1993714;122.89990145;152.76950195;167.78901745;157.00925105;173.45995595;128.2190225;203.83984125;144.35976925;212.16984195;85.9491027;214.00965785;93.40902795;217.3793315;142.13923305;244.42940915;182.50953795;356.86946885;;;;;;;;;;
159.2790676;175.639759;150.36979005;210.17999085;213.3990255;231.9793293;160.13926685;263.33931005;162.17987825;291.8293081;178.1696398;291.8293081;144.1395608;334.1590668;;;;;;;;;;;;;;;;
118.1096998;125.29950572;90.54910923;125.29950572;30.04952283;164.06925879;159.55968817;166.36987712;138.40974218;186.9090483;137.79996374;214.50949367;175.51954283;229.22986405;114.90935936;251.72989139;68.6399293;300.67955675;166.65982079;398.47925047;261.67964221;405.51960089;;;;;;;;
177.33982903;195.26971737;131.05904077;198.29961501;111.14914027;202.37939813;96.13937067;202.37939813;146.68956015;205.98912796;182.39963833;205.98912796;111.46949506;215.81932946;179.0992854;286.77941243;108.85975121;286.77941243;123.69986251;303.2392615;;;;;;;;;;
192.37904363;278.00991705;203.75996995;280.95912055;145.39973147;280.95912055;176.56931341;282.80962078;171.00981488;282.80962078;153.88943863;287.77927861;262.5390953;307.47995799;144.63993667;307.47995799;318.47998718;332.49920097;248.68983561;408.7396105;;;;;;;;;;
127.6892681;142.51934252;104.31993954;161.74939524;76.75939442;161.74939524;134.94998144;165.41920688;133.20996732;175.549645;121.33951508;180.62984696;121.86990974;185.92979812;188.8494659;229.47909526;155.55945982;239.03918432;155.72926602;296.94909168;;;;;;;;;;
154.29991857;187.66940073;188.54975139;196.40902701;199.53916269;209.44959546;172.25927166;230.99922216;134.39920263;234.9897459;132.42989214;235.1195028;106.8797604;239.34957774;215.71984812;241.74908226;215.15989719;245.40922497;200.60915805;253.33936782;211.47979188;253.33936782;256.99951053;300.37923846;313.99972044;378.53980437;;;;
