244.7993268;310.2995856;277.1299506;442.7990442;250.229154;504.2496888;;;;;;
304.92989802;363.35946174;341.33913099;372.15975588;;;;;;;;
265.699392;403.96909056;;;;;;;;;;
400.11910014;535.74986071;;;;;;;;;;
253.69940625;283.4194875;241.03903125;308.8893;364.4598;449.28928125;;;;;;
339.79911178;360.38925754;259.08968167;403.26947022;;;;;;;;
386.26918562;436.48991484;440.14925908;478.8998095;367.76905727;571.95907674;;;;;;
256.1493948;285.6390732;301.7396928;387.3992174;248.55974;488.3398806;;;;;;
262.97930706;364.5490909;373.56923026;388.13969064;332.45996496;425.88921186;243.46938822;456.48985614;;;;
203.36955852;210.90957819;435.11942712;625.29970047;;;;;;;;
;;;;;;;;;;;
316.7699319;323.10967215;197.51966448;346.15968495;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
192.65975877;317.35958119;251.90928789;356.56988497;448.49965659;491.77927423;;;;;;
238.27969043;281.44993242;399.28912104;534.90909729;;;;;;;;
242.63930349;347.62994343;;;;;;;;;;
347.5892883;417.0394881;353.12951745;477.8999093;561.4494532;589.2999606;332.2495501;637.90975905;;;;
154.99922242;306.70966641;;;;;;;;;;
219.21974205;259.8795966;118.5896652;366.35906625;;;;;;;;
432.90931704;468.18947456;;;;;;;;;;
280.67992478;390.0097567;;;;;;;;;;
319.8892499;365.05998785;;;;;;;;;;
231.19980653;269.88901093;335.56920397;374.87970212;;;;;;;;
417.5292006;426.16951128;295.03997388;434.83952736;371.5798977;478.31932134;463.80922362;478.31932134;;;;
258.83964036;473.98945194;443.03968682;478.29983852;;;;;;;;
210.67977027;409.07968863;264.77929053;419.99907603;;;;;;;;
299.13972969;308.189214;410.33924868;418.44917982;261.03902475;550.619565;;;;;;
255.71933376;267.4792384;172.78948544;306.029504;207.96985792;456.75940288;189.65920512;532.77971648;;;;
270.29943528;296.34914358;235.90924602;606.95963286;;;;;;;;
;;;;;;;;;;;
147.59943075;269.25992136;305.82923382;373.41923535;;;;;;;;
