;;;;;;;;;
;;;;;;;;;
216.57963384;231.17954688;417.66911604;468.23964192;;;;;;
149.68939454;202.39911391;210.21901901;410.90981484;166.79926781;414.59930736;;;;
336.0297885;381.01902125;;;;;;;;
313.82907857;482.499779;453.12945138;507.39902792;279.32940257;517.0490235;547.50985812;569.95943177;;
302.9798655;308.95923258;209.56923612;354.5093304;417.29957568;446.96999448;;;;
401.629233;470.5095695;284.74983;481.7493405;236.999533;521.459292;;;;
244.119932;346.64970725;507.019849;673.46914145;;;;;;
291.88954935;319.41934056;235.89906021;370.21982751;278.88939756;426.71915973;;;;
204.9490699;337.4194073;;;;;;;;
207.46995104;306.67931008;208.15931488;334.58997616;407.45973312;414.3895536;397.0697632;626.02996544;;
296.0999262;336.55913115;266.0491788;366.76911645;484.5393048;604.25966595;;;;
226.9895743;264.8491149;;;;;;;;
;;;;;;;;;
335.37975196;409.76973708;501.40922084;519.19923;;;;;;
267.6893625;422.9093529;337.1198922;522.4194612;;;;;;
312.26935658;467.47913884;;;;;;;;
245.79968735;338.23945871;347.18913178;416.61958559;400.44979889;471.97943573;;;;
536.86907378;564.36976626;;;;;;;;
343.60948349;413.97973994;316.54962599;462.59972174;;;;;;
321.65954582;372.5198862;256.22909838;415.11981717;;;;;;
;;;;;;;;;
270.84990042;317.0298461;268.58941888;334.46910416;266.9295153;370.12915414;;;;
341.42961294;442.69931667;;;;;;;;
364.01923665;526.7094254;;;;;;;;
390.52963;447.79965896;;;;;;;;
354.62971712;417.1591628;304.75979176;417.43981648;;;;;;
380.9192013;422.74976013;340.0198677;435.85952733;;;;;;
243.5296825;296.1898305;;;;;;;;
457.7894238;571.3996972;;;;;;;;
259.35973674;358.0697744;;;;;;;;
261.13930444;410.67954788;;;;;;;;
343.81933718;447.63947086;;;;;;;;
369.97920193;442.38967617;500.56930469;538.56974457;;;;;;
347.269527;397.13965335;;;;;;;;
350.39977726;370.17927076;352.56984204;428.2396157;;;;;;
255.44982736;356.30985208;;;;;;;;
;;;;;;;;;
